time,Open,High,Low,Close,Volume,spread,real_volume,Spread_Price
2026-02-24 09:45:00,24733.1,24735.22,24708.47,24709.1,1136,80,0,0.8
2026-02-24 09:50:00,24708.97,24719.47,24707.47,24717.22,1058,80,0,0.8
2026-02-24 09:55:00,24717.85,24744.22,24717.72,24737.85,1060,80,0,0.8
2026-02-24 10:00:00,24736.35,24761.47,24735.47,24750.1,1230,80,0,0.8
2026-02-24 10:05:00,24749.72,24764.97,24744.47,24762.47,999,80,0,0.8
2026-02-24 10:10:00,24762.22,24784.47,24758.22,24783.72,911,80,0,0.8
2026-02-24 10:15:00,24783.85,24789.22,24774.22,24774.72,851,80,0,0.8
2026-02-24 10:20:00,24774.97,24779.97,24768.22,24772.22,778,80,0,0.8
2026-02-24 10:25:00,24772.35,24779.97,24767.35,24771.72,818,80,0,0.8
2026-02-24 10:30:00,24771.22,24771.97,24753.22,24753.22,701,80,0,0.8
2026-02-24 10:35:00,24752.72,24767.72,24741.1,24767.47,955,80,0,0.8
2026-02-24 10:40:00,24767.22,24776.72,24766.1,24774.85,477,80,0,0.8
2026-02-24 10:45:00,24774.97,24785.97,24770.35,24783.72,679,80,0,0.8
2026-02-24 10:50:00,24784.35,24790.22,24779.97,24785.22,676,80,0,0.8
2026-02-24 10:55:00,24785.47,24794.22,24784.85,24793.72,521,80,0,0.8
2026-02-24 11:00:00,24793.97,24811.35,24791.6,24810.72,675,80,0,0.8
2026-02-24 11:05:00,24811.22,24811.97,24791.22,24794.97,752,80,0,0.8
2026-02-24 11:10:00,24794.85,24796.72,24788.97,24788.97,586,80,0,0.8
2026-02-24 11:15:00,24788.22,24794.47,24781.97,24793.47,506,80,0,0.8
2026-02-24 11:20:00,24792.97,24793.97,24785.97,24786.97,599,80,0,0.8
2026-02-24 11:25:00,24786.85,24791.22,24781.47,24786.47,590,80,0,0.8
2026-02-24 11:30:00,24786.72,24789.47,24777.47,24780.72,551,80,0,0.8
2026-02-24 11:35:00,24780.85,24793.47,24778.97,24778.97,693,80,0,0.8
2026-02-24 11:40:00,24778.85,24790.85,24773.35,24790.47,632,80,0,0.8
2026-02-24 11:45:00,24789.97,24790.97,24772.47,24776.22,612,80,0,0.8
2026-02-24 11:50:00,24776.47,24787.22,24772.72,24786.97,684,80,0,0.8
2026-02-24 11:55:00,24787.1,24789.72,24783.47,24788.47,609,80,0,0.8
2026-02-24 12:00:00,24788.72,24799.97,24780.72,24793.22,846,80,0,0.8
2026-02-24 12:05:00,24793.72,24795.22,24777.22,24777.22,694,80,0,0.8
2026-02-24 12:10:00,24776.97,24783.22,24769.22,24771.22,722,80,0,0.8
