time,Open,High,Low,Close,Volume,spread,real_volume,Spread_Price
2026-02-24 09:45:00,66.368,66.417,66.356,66.394,223,18,0,0.018000000000000002
2026-02-24 09:50:00,66.395,66.508,66.378,66.505,256,18,0,0.018000000000000002
2026-02-24 09:55:00,66.506,66.531,66.467,66.512,286,18,0,0.018000000000000002
2026-02-24 10:00:00,66.494,66.527,66.376,66.402,398,18,0,0.018000000000000002
2026-02-24 10:05:00,66.404,66.435,66.356,66.37,228,18,0,0.018000000000000002
2026-02-24 10:10:00,66.364,66.457,66.296,66.454,263,18,0,0.018000000000000002
2026-02-24 10:15:00,66.456,66.516,66.407,66.424,251,18,0,0.018000000000000002
2026-02-24 10:20:00,66.421,66.432,66.363,66.363,241,18,0,0.018000000000000002
2026-02-24 10:25:00,66.361,66.389,66.296,66.369,227,18,0,0.018000000000000002
2026-02-24 10:30:00,66.366,66.457,66.36,66.421,241,18,0,0.018000000000000002
2026-02-24 10:35:00,66.431,66.495,66.375,66.491,267,18,0,0.018000000000000002
2026-02-24 10:40:00,66.489,66.51,66.468,66.473,102,18,0,0.018000000000000002
2026-02-24 10:45:00,66.47,66.513,66.402,66.493,266,18,0,0.018000000000000002
2026-02-24 10:50:00,66.494,66.539,66.46,66.495,214,18,0,0.018000000000000002
2026-02-24 10:55:00,66.499,66.534,66.475,66.509,236,18,0,0.018000000000000002
2026-02-24 11:00:00,66.518,66.562,66.418,66.52,378,18,0,0.018000000000000002
2026-02-24 11:05:00,66.523,66.563,66.431,66.433,337,18,0,0.018000000000000002
2026-02-24 11:10:00,66.435,66.435,66.269,66.324,309,18,0,0.018000000000000002
2026-02-24 11:15:00,66.328,66.377,66.264,66.342,286,18,0,0.018000000000000002
2026-02-24 11:20:00,66.348,66.468,66.346,66.406,246,18,0,0.018000000000000002
2026-02-24 11:25:00,66.431,66.487,66.414,66.417,206,18,0,0.018000000000000002
2026-02-24 11:30:00,66.416,66.453,66.327,66.392,244,18,0,0.018000000000000002
2026-02-24 11:35:00,66.396,66.417,66.344,66.352,199,18,0,0.018000000000000002
2026-02-24 11:40:00,66.36,66.368,66.202,66.203,339,18,0,0.018000000000000002
2026-02-24 11:45:00,66.204,66.221,66.157,66.21,265,18,0,0.018000000000000002
2026-02-24 11:50:00,66.211,66.311,66.177,66.266,283,18,0,0.018000000000000002
2026-02-24 11:55:00,66.268,66.302,66.211,66.236,204,18,0,0.018000000000000002
2026-02-24 12:00:00,66.232,66.232,66.118,66.217,270,18,0,0.018000000000000002
2026-02-24 12:05:00,66.215,66.354,66.202,66.333,265,18,0,0.018000000000000002
2026-02-24 12:10:00,66.331,66.335,66.202,66.204,244,18,0,0.018000000000000002
2026-02-24 12:15:00,66.202,66.208,66.147,66.201,226,18,0,0.018000000000000002
2026-02-24 12:20:00,66.2,66.268,66.189,66.24,183,18,0,0.018000000000000002
2026-02-24 12:25:00,66.241,66.308,66.24,66.254,208,18,0,0.018000000000000002
2026-02-24 12:30:00,66.255,66.272,66.211,66.24,166,18,0,0.018000000000000002
2026-02-24 12:35:00,66.238,66.256,66.202,66.209,181,18,0,0.018000000000000002
2026-02-24 12:40:00,66.218,66.226,66.173,66.222,186,18,0,0.018000000000000002
2026-02-24 12:45:00,66.224,66.284,66.223,66.274,190,18,0,0.018000000000000002
2026-02-24 12:50:00,66.27,66.329,66.21,66.316,184,18,0,0.018000000000000002
2026-02-24 12:55:00,66.315,66.355,66.285,66.32,215,18,0,0.018000000000000002
2026-02-24 13:00:00,66.296,66.375,66.27,66.372,300,18,0,0.018000000000000002
2026-02-24 13:05:00,66.371,66.457,66.365,66.383,266,18,0,0.018000000000000002
2026-02-24 13:10:00,66.382,66.387,66.244,66.245,245,18,0,0.018000000000000002
2026-02-24 13:15:00,66.247,66.268,66.216,66.252,221,18,0,0.018000000000000002
2026-02-24 13:20:00,66.25,66.314,66.248,66.301,187,18,0,0.018000000000000002
2026-02-24 13:25:00,66.308,66.443,66.298,66.416,237,18,0,0.018000000000000002
2026-02-24 13:30:00,66.419,66.55,66.376,66.542,301,18,0,0.018000000000000002
2026-02-24 13:35:00,66.541,66.591,66.512,66.571,320,18,0,0.018000000000000002
