time,Open,High,Low,Close,Volume,spread,real_volume,Spread_Price
2026-02-24 16:30:00,388.1,388.14,386.75,386.88,902,10,0,0.1
2026-02-24 16:35:00,386.91,386.91,385.82,386.08,788,9,0,0.09
2026-02-24 16:40:00,386.1,387.65,386.06,387.46,807,10,0,0.1
2026-02-24 16:45:00,387.48,387.55,386.68,386.95,699,10,0,0.1
2026-02-24 16:50:00,386.95,386.95,386.05,386.46,760,10,0,0.1
2026-02-24 16:55:00,386.36,386.82,385.96,386.77,593,10,0,0.1
2026-02-24 17:00:00,386.79,387.46,386.47,387.09,698,10,0,0.1
2026-02-24 17:05:00,387.09,387.47,386.43,386.65,591,10,0,0.1
2026-02-24 17:10:00,386.67,387.05,386.5,386.71,642,10,0,0.1
2026-02-24 17:15:00,386.72,386.73,385.89,385.99,644,10,0,0.1
2026-02-24 17:20:00,386.0,386.45,385.91,386.11,602,9,0,0.09
2026-02-24 17:25:00,386.17,386.74,386.08,386.61,523,10,0,0.1
2026-02-24 17:30:00,386.62,386.62,385.75,385.93,563,9,0,0.09
2026-02-24 17:35:00,385.95,386.17,385.64,385.94,554,11,0,0.11
2026-02-24 17:40:00,385.94,386.33,385.68,386.03,477,10,0,0.1
2026-02-24 17:45:00,386.03,386.26,385.82,385.99,581,11,0,0.11
2026-02-24 17:50:00,385.92,386.8,385.85,386.71,455,10,0,0.1
2026-02-24 17:55:00,386.69,386.69,385.95,386.16,434,10,0,0.1
2026-02-24 18:00:00,386.19,386.58,385.97,386.0,504,11,0,0.11
2026-02-24 18:05:00,386.02,386.28,386.0,386.24,476,10,0,0.1
2026-02-24 18:10:00,386.3,386.71,386.24,386.3,595,10,0,0.1
2026-02-24 18:15:00,386.3,386.47,385.72,385.75,432,9,0,0.09
2026-02-24 18:20:00,385.68,386.85,385.56,386.81,386,9,0,0.09
2026-02-24 18:25:00,386.84,387.07,386.14,386.37,458,9,0,0.09
2026-02-24 18:30:00,386.37,386.62,385.91,385.96,434,10,0,0.1
2026-02-24 18:35:00,386.02,386.49,385.96,386.2,364,9,0,0.09
2026-02-24 18:40:00,386.19,386.62,385.93,386.18,307,10,0,0.1
2026-02-24 18:45:00,386.14,386.71,385.97,386.66,439,10,0,0.1
2026-02-24 18:50:00,386.66,386.93,386.55,386.73,381,9,0,0.09
