time,Open,High,Low,Close,Volume,spread,real_volume,Spread_Price
2026-02-24 09:45:00,5174.71,5175.33,5169.12,5172.44,896,15,0,0.15
2026-02-24 09:50:00,5172.44,5174.65,5170.66,5171.96,727,15,0,0.15
2026-02-24 09:55:00,5171.92,5176.78,5171.04,5173.47,784,15,0,0.15
2026-02-24 10:00:00,5173.45,5178.35,5172.43,5176.61,854,15,0,0.15
2026-02-24 10:05:00,5176.61,5180.36,5175.55,5177.41,851,15,0,0.15
2026-02-24 10:10:00,5177.4,5177.4,5171.44,5172.52,871,15,0,0.15
2026-02-24 10:15:00,5172.48,5174.92,5171.18,5172.32,639,15,0,0.15
2026-02-24 10:20:00,5172.33,5174.07,5168.57,5170.44,729,15,0,0.15
2026-02-24 10:25:00,5170.43,5172.85,5167.86,5168.6,875,15,0,0.15
2026-02-24 10:30:00,5168.65,5173.59,5168.65,5172.72,592,15,0,0.15
2026-02-24 10:35:00,5172.7,5173.48,5166.52,5170.39,896,15,0,0.15
2026-02-24 10:40:00,5170.38,5172.24,5168.94,5169.86,672,15,0,0.15
2026-02-24 10:45:00,5169.59,5170.83,5167.4,5170.07,494,15,0,0.15
2026-02-24 10:50:00,5170.08,5172.06,5169.85,5170.49,531,10,0,0.1
2026-02-24 10:55:00,5170.49,5173.03,5169.98,5171.38,539,15,0,0.15
2026-02-24 11:00:00,5171.35,5176.08,5170.89,5176.05,818,15,0,0.15
2026-02-24 11:05:00,5176.06,5176.09,5172.45,5173.22,629,15,0,0.15
2026-02-24 11:10:00,5173.22,5174.88,5172.87,5174.68,514,4,0,0.04
2026-02-24 11:15:00,5174.54,5175.33,5172.41,5173.9,605,15,0,0.15
2026-02-24 11:20:00,5173.86,5181.34,5173.86,5180.54,638,15,0,0.15
2026-02-24 11:25:00,5180.57,5180.71,5175.8,5175.96,537,15,0,0.15
2026-02-24 11:30:00,5175.95,5176.74,5166.26,5167.3,955,15,0,0.15
2026-02-24 11:35:00,5167.28,5171.89,5163.33,5166.68,1059,15,0,0.15
2026-02-24 11:40:00,5166.7,5171.91,5165.5,5170.32,859,15,0,0.15
2026-02-24 11:45:00,5170.27,5171.66,5168.99,5170.28,570,15,0,0.15
2026-02-24 11:50:00,5170.27,5173.1,5169.27,5172.63,506,15,0,0.15
2026-02-24 11:55:00,5172.61,5174.51,5171.42,5172.83,515,15,0,0.15
2026-02-24 12:00:00,5172.83,5176.05,5172.7,5175.68,642,15,0,0.15
2026-02-24 12:05:00,5175.68,5176.55,5172.26,5173.65,439,15,0,0.15
2026-02-24 12:10:00,5173.63,5177.35,5173.34,5176.31,461,15,0,0.15
2026-02-24 12:15:00,5176.55,5176.85,5173.28,5173.88,452,15,0,0.15
2026-02-24 12:20:00,5173.93,5174.45,5171.02,5171.94,449,15,0,0.15
2026-02-24 12:25:00,5171.95,5175.14,5171.83,5174.8,543,15,0,0.15
2026-02-24 12:30:00,5174.81,5175.16,5173.63,5174.16,530,15,0,0.15
2026-02-24 12:35:00,5174.15,5176.8,5173.02,5176.54,583,15,0,0.15
2026-02-24 12:40:00,5176.54,5178.11,5175.73,5178.11,509,14,0,0.14
2026-02-24 12:45:00,5178.13,5178.56,5172.87,5173.77,569,14,0,0.14
2026-02-24 12:50:00,5173.76,5175.61,5172.23,5175.57,610,14,0,0.14
2026-02-24 12:55:00,5175.65,5176.55,5172.27,5172.74,701,14,0,0.14
2026-02-24 13:00:00,5172.6,5173.52,5169.42,5169.59,996,14,0,0.14
2026-02-24 13:05:00,5169.54,5172.76,5168.23,5170.85,666,14,0,0.14
